Metric		Current
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		3.72
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		7
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		185
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		17.23
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		12
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		509
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		47.39
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		16
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		340
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		31.66
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		5
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		234
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		21.79
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		19
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		40.5
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		14
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		306
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		28.49
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		6
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		99
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		9.22
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		1
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		99
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		44
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		4
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_NEGLIGIBLE_RISK_LOC		190
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_NEGLIGIBLE_RISK_PERCENTAGE		18.45
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_NEGLIGIBLE_RISK_COUNT		15
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_LOW_RISK_LOC		435
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_LOW_RISK_PERCENTAGE		42.23
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_LOW_RISK_COUNT		14
CONDITIONAL_COMPLEXITY_COMPONENT_SERVER_MEDIUM_RISK_LOC		306
